景點介紹,景點照,景點名,評分,評論數,類型,
https://www.tripadvisor.com.tw/Attraction_Review-g13806954-d550250-Reviews-YehLiu_Geopark-Wanli_New_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/e8/28/58/photo0jpg.jpg?w=500&h=400&s=1,野柳地質公園,4.5 分 (共 5 分),2208,水域 • 公園,
https://www.tripadvisor.com.tw/Attraction_Review-g13806427-d487352-Reviews-Yangmingshan_National_Park-Beitou_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/82/4e/74/caption.jpg?w=500&h=400&s=1,陽明山國家公園,4.5 分 (共 5 分),1424,國家公園,
https://www.tripadvisor.com.tw/Attraction_Review-g13808515-d6554047-Reviews-TAIPEI_101_Observatory-Xinyi_District_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/60/34/a4/photo3jpg.jpg?w=500&h=-1&s=1,台北101觀景台,4.5 分 (共 5 分),2613,景點和地標 • 建築物,
https://www.tripadvisor.com.tw/Attraction_Review-g13808515-d561371-Reviews-Raohe_Street_Night_Market-Xinyi_District_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/1d/77/05/raohe-street-night-market.jpg?w=500&h=-1&s=1,饒河街觀光夜市,4.0 分 (共 5 分),1914,跳蚤市場和街頭市集,
https://www.tripadvisor.com.tw/Attraction_Review-g13806450-d3650437-Reviews-Fo_Guang_Shan_Buddha_Museum-Dashu_District_Kaohsiung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/6e/88/cf/bird-s-eye-view-of-the.jpg?w=500&h=400&s=1,佛光山佛陀紀念館,4.5 分 (共 5 分),1221,特色博物館 • 宗教景點,
https://www.tripadvisor.com.tw/Attraction_Review-g13806427-d552542-Reviews-Beitou_Hot_Spring-Beitou_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/8f/6f/f4/photo3jpg.jpg?w=500&h=-1&s=1,北投溫泉,4.0 分 (共 5 分),2182,溫泉和間歇泉,
https://www.tripadvisor.com.tw/Attraction_Review-g13806879-d1367969-Reviews-Shilin_Night_Market-Shilin_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/bf/7b/54/1909.jpg?w=500&h=400&s=1,士林觀光夜市,4.0 分 (共 5 分),5304,跳蚤市場和街頭市集,
https://www.tripadvisor.com.tw/Attraction_Review-g13806829-d1975815-Reviews-Chimei_Museum-Rende_Tainan.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/79/87/8d/caption.jpg?w=500&h=400&s=1,奇美博物館,4.5 分 (共 5 分),1371,特色博物館,
https://www.tripadvisor.com.tw/Attraction_Review-g13806951-d7811748-Reviews-Ximending-Wanhua_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/11/e6/95/b4/img-20171222-122235-largejpg.jpg?w=500&h=-1&s=1,西門町,4.0 分 (共 5 分),2635,地區,
https://www.tripadvisor.com.tw/Attraction_Review-g13806608-d1458182-Reviews-Leo_Foo_Village_Theme_Park-Guanxi_Hsinchu_County.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/ca/bf/05/caption.jpg?w=500&h=400&s=1,六福村主題遊樂園,4.5 分 (共 5 分),1241,遊樂園和主題樂園,
https://www.tripadvisor.com.tw/Attraction_Review-g13806784-d4367836-Reviews-Shifen_Old_Street-Pingxi_New_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/33/1b/fa/shifen-old-street.jpg?w=500&h=400&s=1,十分老街,4.0 分 (共 5 分),1531,景點和地標,
https://www.tripadvisor.com.tw/Attraction_Review-g13806450-d456238-Reviews-Fo_Guang_Shan-Dashu_District_Kaohsiung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/3a/ec/dd/the-main-shrine.jpg?w=500&h=400&s=1,佛光山,4.5 分 (共 5 分),663,景點和地標 • 宗教景點,
https://www.tripadvisor.com.tw/Attraction_Review-g13795594-d663695-Reviews-National_Museum_of_Marine_Biology_and_Aquarium-Checheng_Pingtung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/81/4b/cf/cetacean-plaza.jpg?w=500&h=400&s=1,國立海洋生物博物館,4.5 分 (共 5 分),716,特色博物館 • 水族館,
https://www.tripadvisor.com.tw/Attraction_Review-g13806800-d6839517-Reviews-Chung_Tai_World_Museum-Puli_Nantou.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/04/e1/0d/caption.jpg?w=500&h=400&s=1,中台世界博物馆,5.0 分 (共 5 分),271,特色博物館 • 藝術博物館,
https://www.tripadvisor.com.tw/Attraction_Review-g13806817-d6366814-Reviews-Gaomei_Wetland-Qingshui_Taichung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/8b/16/84/caption.jpg?w=500&h=400&s=1,高美濕地,4.5 分 (共 5 分),1196,自然和野生動物區,
https://www.tripadvisor.com.tw/Attraction_Review-g13806451-d552579-Reviews-Dalongdong_Bao_An_Temple-Datong_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/90/1e/d5/bao-an-temple.jpg?w=500&h=-1&s=1,大龍峒保安宮,4.5 分 (共 5 分),414,古蹟 • 建築物,
https://www.tripadvisor.com.tw/Attraction_Review-g13811269-d2557209-Reviews-Daan_Forest_Park-Da_an_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/cb/7d/1f/dsc-0338-largejpg.jpg?w=500&h=400&s=1,大安森林公園,4.5 分 (共 5 分),900,公園,
https://www.tripadvisor.com.tw/Attraction_Review-g13808557-d2526629-Reviews-The_Pier_2_Art_Centre-Yancheng_Kaohsiung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/32/9c/f2/dsc-2154-largejpg.jpg?w=500&h=400&s=1,駁二藝術特區,4.5 分 (共 5 分),1856,特色和禮品商店 • 美術館,
https://www.tripadvisor.com.tw/Attraction_Review-g13806921-d552547-Reviews-Danshuei-Tamsui_New_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/16/e8/fd/bridge-of-lovers.jpg?w=500&h=-1&s=1,淡水(淡水風景區),4.0 分 (共 5 分),1794,景點和地標,
,,,,1,2,
https://www.tripadvisor.com.tw/Attraction_Review-g13808515-d552571-Reviews-Sun_Yat_Sen_Memorial_Hall-Xinyi_District_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/a5/29/76/photo1jpg.jpg?w=500&h=-1&s=1,國父紀念館,4.0 分 (共 5 分),1137,景點和地標 • 紀念碑和雕像,
https://www.tripadvisor.com.tw/Attraction_Review-g13806822-d490846-Reviews-Hehuanshan_National_Forest_Recreation_Area-Ren_ai_Township_Nantou.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/e2/98/98/in-spring-and-summer.jpg?w=500&h=400&s=1,合歡山國家森林遊樂區,4.5 分 (共 5 分),560,山脈,
https://www.tripadvisor.com.tw/Attraction_Review-g13806451-d1383133-Reviews-Dihua_Street-Datong_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/e0/78/31/caption.jpg?w=500&h=-1&s=1,迪化街,4.0 分 (共 5 分),965,景點和地標,
https://www.tripadvisor.com.tw/Attraction_Review-g13792389-d6952528-Reviews-Alishan_National_Forest_Recreation_Area-Alishan_Chiayi_County.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/e3/c1/c4/giant-trees-plank-trail.jpg?w=500&h=400&s=1,阿里山國家森林遊樂區,4.5 分 (共 5 分),480,森林,
https://www.tripadvisor.com.tw/Attraction_Review-g13808394-d552576-Reviews-Maokong_mountain-Wenshan_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/e6/0f/86/maokong-mountain.jpg?w=500&h=-1&s=1,貓空山,4.0 分 (共 5 分),1096,電車 • 山脈,
https://www.tripadvisor.com.tw/Attraction_Review-g13806427-d550252-Reviews-Beitou_Thermal_Valley_Hell_Valley-Beitou_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/32/dc/5f/img-20191203-wa0045-largejpg.jpg?w=500&h=-1&s=1,北投地熱谷公園,4.0 分 (共 5 分),824,公園 • 地質構造,
https://www.tripadvisor.com.tw/Attraction_Review-g13808516-d578643-Reviews-Ali_Mountain_Alishan-Xinyi_Township_Nantou.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/ee/20/cb/nice.jpg?w=500&h=400&s=1,阿里山,4.5 分 (共 5 分),667,山脈 • 自然和野生動物區,
https://www.tripadvisor.com.tw/Attraction_Review-g13808474-d7281962-Reviews-Chishingtan_Scenic_Area-Xincheng_Hualien.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/a9/f8/cb/20181203-132348-largejpg.jpg?w=500&h=-1&s=1,七星潭海岸風景特定區,4.5 分 (共 5 分),1157,水域 • 海灘,
https://www.tripadvisor.com.tw/Attraction_Review-g13806620-d553564-Reviews-Kenting_National_Park-Hengchun_Pingtung.html,https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/10/76/f0/19/caption.jpg?w=500&h=400&s=1,墾丁國家公園,4.5 分 (共 5 分),688,國家公園 • 自然和野生動物區,
https://www.tripadvisor.com.tw/Attraction_Review-g13808671-d1237192-Reviews-National_Revolutionary_Martyrs_Shrine-Zhongshan_District_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/08/07/80/national-revolutionary.jpg?w=500&h=400&s=1,忠烈祠,4.0 分 (共 5 分),1430,歷史博物館,
https://www.tripadvisor.com.tw/Attraction_Review-g13806813-d556522-Reviews-Cijin_Island-Qijin_Kaohsiung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/7c/35/e8/photo0jpg.jpg?w=500&h=-1&s=1,旗津島,4.0 分 (共 5 分),1147,島嶼,
https://www.tripadvisor.com.tw/Attraction_Review-g13808853-d2465898-Reviews-Huashan_1914_Creative_Park-Zhongzheng_District_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/df/d7/5b/huashan-1914-creative.jpg?w=500&h=400&s=1,華山1914文化創意產業園區,4.0 分 (共 5 分),759,美術館 • 景點和地標,
https://www.tripadvisor.com.tw/Attraction_Review-g13808515-d4582979-Reviews-Songshan_Cultural_and_Creative_Park-Xinyi_District_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/25/f6/71/photo2jpg.jpg?w=500&h=400&s=1,松山文創園區,4.0 分 (共 5 分),791,美術館 • 景點和地標,
https://www.tripadvisor.com.tw/Attraction_Review-g13806451-d1148252-Reviews-Taipei_Confucius_Temple-Datong_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/db/62/9d/konfuziustempel-teipeh.jpg?w=500&h=-1&s=1,台北孔廟,4.0 分 (共 5 分),710,古蹟,
https://www.tripadvisor.com.tw/Attraction_Review-g13806823-d1383207-Reviews-Keelung_Miaokou_Night_Market-Ren_ai_District_Keelung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/57/3d/f8/20181111-225555-largejpg.jpg?w=500&h=400&s=1,基隆廟口夜市,4.5 分 (共 5 分),570,跳蚤市場和街頭市集,
https://www.tripadvisor.com.tw/Attraction_Review-g13792460-d2168815-Reviews-Anping_Tree_House-Anping_Tainan.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/a8/ea/17/caption.jpg?w=500&h=-1&s=1,安平樹屋,4.0 分 (共 5 分),1019,古蹟,
https://www.tripadvisor.com.tw/Attraction_Review-g13808541-d8127414-Reviews-Qingshui_Cliff-Xiulin_Hualien.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/31/d6/a4/ching-shui-cliff.jpg?w=500&h=400&s=1,花蓮清水斷崖,4.5 分 (共 5 分),881,景點和地標 • 地質構造,
https://www.tripadvisor.com.tw/Attraction_Review-g13806910-d553585-Reviews-Green_Island-Taitung_City_Taitung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/2e/5d/d0/green-island.jpg?w=500&h=400&s=1,綠島鄉,4.5 分 (共 5 分),370,島嶼,
https://www.tripadvisor.com.tw/Attraction_Review-g13806822-d1047955-Reviews-Qingjing_Farm-Ren_ai_Township_Nantou.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/f2/fe/bf/getlstd-property-photo.jpg?w=500&h=-1&s=1,清境農場,4.0 分 (共 5 分),1064,農場,
https://www.tripadvisor.com.tw/Attraction_Review-g13806775-d2334788-Reviews-National_Museum_of_Natural_Science-North_District_Taichung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/6c/a4/de/photo1jpg.jpg?w=500&h=-1&s=1,國立自然科學博物館,4.5 分 (共 5 分),685,科學博物館,
https://www.tripadvisor.com.tw/Attraction_Review-g13808929-d600368-Reviews-Dragon_Tiger_Tower-Zuoying_Kaohsiung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/0f/d1/e3/caption.jpg?w=500&h=-1&s=1,龍虎塔,4.0 分 (共 5 分),1176,景點和地標,
https://www.tripadvisor.com.tw/Attraction_Review-g13792475-d552554-Reviews-The_Lin_Family_Mansion_and_Garden-Banqiao_New_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/64/44/18/caption.jpg?w=500&h=400&s=1,林本源園邸,4.5 分 (共 5 分),375,古蹟 • 建築物,
https://www.tripadvisor.com.tw/Attraction_Review-g13808853-d552540-Reviews-228_Peace_Memorial_Park-Zhongzheng_District_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/91/ba/93/caption.jpg?w=500&h=400&s=1,二二八和平紀念公園,4.0 分 (共 5 分),939,古蹟,
https://www.tripadvisor.com.tw/Attraction_Review-g13806427-d3538169-Reviews-Beitou_Public_Library_Taipei-Beitou_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/dc/e8/25/caption.jpg?w=500&h=-1&s=1,北投圖書館,4.5 分 (共 5 分),537,圖書館,
https://www.tripadvisor.com.tw/Attraction_Review-g13808534-d7222405-Reviews-National_Taichung_Theater-Xitun_Taichung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/c3/4d/98/photo0jpg.jpg?w=500&h=-1&s=1,臺中國家歌劇院,4.5 分 (共 5 分),584,建築物 • 劇場,
https://www.tripadvisor.com.tw/Attraction_Review-g13808853-d321209-Reviews-The_Botanical_Garden-Zhongzheng_District_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/cd/0a/50/the-botanical-garden.jpg?w=500&h=400&s=1,台北植物園,4.0 分 (共 5 分),319,公園 • 花園,
https://www.tripadvisor.com.tw/Attraction_Review-g13808400-d7200084-Reviews-Hayashi_Department_Store-West_Central_District_Tainan.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/31/fa/0e/caption.jpg?w=500&h=400&s=1,林百貨,4.0 分 (共 5 分),950,古蹟 • 建築物,
https://www.tripadvisor.com.tw/Attraction_Review-g13806879-d7610213-Reviews-Taipei_Children_s_Amusement_Park-Shilin_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/5b/14/52/caption.jpg?w=500&h=400&s=1,臺北市兒童新樂園,4.5 分 (共 5 分),443,遊樂園和主題樂園,
https://www.tripadvisor.com.tw/Attraction_Review-g13808671-d2167352-Reviews-Miniatures_Museum_of_Taiwan-Zhongshan_District_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/ad/69/b9/miniatures-museum-of.jpg?w=500&h=400&s=1,袖珍博物館,4.0 分 (共 5 分),341,特色博物館,
https://www.tripadvisor.com.tw/Attraction_Review-g13808671-d1383208-Reviews-Hsing_Tian_Kong-Zhongshan_District_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/01/f7/ce/caption.jpg?w=500&h=400&s=1,行天宮,4.0 分 (共 5 分),1427,宗教景點,
,,,,2,1,
https://www.tripadvisor.com.tw/Attraction_Review-g13806427-d552559-Reviews-Guandu_Temple_Kuantu_Temple-Beitou_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/9b/42/ad/caption.jpg?w=500&h=400&s=1,關渡宮,4.5 分 (共 5 分),273,宗教景點,
https://www.tripadvisor.com.tw/Attraction_Review-g13808406-d4974943-Reviews-921_Earthquake_Museum_of_Taiwan-Wufeng_Taichung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/a0/a8/bd/caption.jpg?w=500&h=400&s=1,921地震教育園區,4.5 分 (共 5 分),299,特色博物館,
https://www.tripadvisor.com.tw/Attraction_Review-g13808397-d2578833-Reviews-National_Taiwan_Museum_of_Fine_Arts-West_District_Taichung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/39/78/50/dsc-1966-largejpg.jpg?w=500&h=400&s=1,國立台灣美術館,4.5 分 (共 5 分),518,藝術博物館,
https://www.tripadvisor.com.tw/Attraction_Review-g13808635-d1590807-Reviews-Wen_Wu_Temple-Yuchi_Nantou.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/58/e7/81/wen-wu-chao.jpg?w=500&h=-1&s=1,文武廟,4.5 分 (共 5 分),499,古蹟 • 景點和地標,
https://www.tripadvisor.com.tw/Attraction_Review-g13808400-d490834-Reviews-Chihkan_Tower_Fort_Provintia-West_Central_District_Tainan.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/a0/2e/9d/caption.jpg?w=500&h=-1&s=1,赤嵌樓,4.0 分 (共 5 分),1006,古蹟 • 史跡徒步區,
https://www.tripadvisor.com.tw/Attraction_Review-g13808929-d1539442-Reviews-Lotus_Pond-Zuoying_Kaohsiung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/bd/24/bc/autumn-pavilion-and-wuli.jpg?w=500&h=400&s=1,蓮池潭,4.0 分 (共 5 分),785,水域,
https://www.tripadvisor.com.tw/Attraction_Review-g13806910-d554785-Reviews-Taitung_Forest_Park-Taitung_City_Taitung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/96/15/94/photo1jpg.jpg?w=500&h=-1&s=1,台東森林公園,4.5 分 (共 5 分),595,公園,
https://www.tripadvisor.com.tw/Attraction_Review-g13808513-d2081143-Reviews-The_Dome_of_Light-Xinxing_Kaohsiung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/bd/ef/63/img-20180717-164930-largejpg.jpg?w=500&h=400&s=1,光之穹頂 ( 高雄),4.0 分 (共 5 分),1492,景點和地標,
https://www.tripadvisor.com.tw/Attraction_Review-g13808853-d1383174-Reviews-National_Taiwan_University-Zhongzheng_District_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/cb/e3/56/caption.jpg?w=500&h=400&s=1,國立臺灣大學,4.5 分 (共 5 分),637,教育景點,
https://www.tripadvisor.com.tw/Attraction_Review-g13808557-d1644529-Reviews-Ai_He_Love_River-Yancheng_Kaohsiung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/99/53/1f/love-river-kaohsiung.jpg?w=500&h=-1&s=1,愛河,4.0 分 (共 5 分),1131,慢跑小徑和步道,
https://www.tripadvisor.com.tw/Attraction_Review-g13806759-d2236866-Reviews-Rainbow_Village_Taichung-Nantun_Taichung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/dd/1b/d0/caption.jpg?w=500&h=400&s=1,彩虹眷村,4.0 分 (共 5 分),1291,地區 • 景點和地標,
https://www.tripadvisor.com.tw/Attraction_Review-g13808635-d1940933-Reviews-Formosan_Aboriginal_Culture_Village-Yuchi_Nantou.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/9a/c2/63/caption.jpg?w=500&h=400&s=1,九族文化村,4.0 分 (共 5 分),599,遊樂園和主題樂園,
https://www.tripadvisor.com.tw/Attraction_Review-g13806837-d3239851-Reviews-Cat_Village_Houtong-Ruifang_New_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/10/d7/53/caption.jpg?w=500&h=-1&s=1,瑞芳侯硐貓村,4.0 分 (共 5 分),590,景點和地標,
https://www.tripadvisor.com.tw/Attraction_Review-g13808452-d1954937-Reviews-Taiwan_High_Speed_Rail_Taichung_Station-Wuri_Taichung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/99/f2/c0/caption.jpg?w=500&h=400&s=1,高鐵台中站,4.5 分 (共 5 分),1646,公共交通系統,
https://www.tripadvisor.com.tw/Attraction_Review-g13808853-d552565-Reviews-Presidential_Office_Building-Zhongzheng_District_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/57/69/5e/caption.jpg?w=500&h=-1&s=1,總統府,4.0 分 (共 5 分),851,政府建築,
https://www.tripadvisor.com.tw/Attraction_Review-g13806921-d7369015-Reviews-Tamshui_Old_Street-Tamsui_New_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/e1/b2/0b/looking-east-back-towards.jpg?w=500&h=-1&s=1,淡水老街,4.0 分 (共 5 分),1046,景點和地標,
https://www.tripadvisor.com.tw/Attraction_Review-g13808853-d9719607-Reviews-Chiang_Kai_shek_Memorial_Hall_Park-Zhongzheng_District_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/1e/d6/81/photo0jpg.jpg?w=500&h=400&s=1,中正紀念公園,4.5 分 (共 5 分),233,公園,
https://www.tripadvisor.com.tw/Attraction_Review-g13808856-d592637-Reviews-Heping_Island_GeoPark-Zhongzheng_District_Keelung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/4d/39/af/heping-island-park-5.jpg?w=500&h=400&s=1,和平島地質公園,4.5 分 (共 5 分),162,景點和地標 • 島嶼,
https://www.tripadvisor.com.tw/Attraction_Review-g13811269-d1529717-Reviews-Yongkang_Street-Da_an_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/bb/c2/5a/caption.jpg?w=500&h=400&s=1,永康街,4.0 分 (共 5 分),440,景點和地標,
https://www.tripadvisor.com.tw/Attraction_Review-g13806648-d1595556-Reviews-Jiaosi_Hot_Spring-Jiaoxi_Yilan.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/f8/7a/cf/park.jpg?w=500&h=-1&s=1,宜蘭礁溪溫泉,4.5 分 (共 5 分),322,溫泉和間歇泉,
https://www.tripadvisor.com.tw/Attraction_Review-g13806806-d7645003-Reviews-Kaohsiung_Main_Public_Library-Qianzhen_Kaohsiung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/ff/80/39/photo0jpg.jpg?w=500&h=-1&s=1,高雄市立圖書館總館,4.5 分 (共 5 分),440,景點和地標 • 建築物,
https://www.tripadvisor.com.tw/Attraction_Review-g13795597-d1816775-Reviews-Sanxiantai-Chenggong_Township_Taitung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/41/46/5f/12.jpg?w=500&h=400&s=1,三仙台風景區,4.5 分 (共 5 分),416,島嶼 • 自然和野生動物區,
https://www.tripadvisor.com.tw/Attraction_Review-g13795606-d6554295-Reviews-Taitung_Brown_s_Road-Chishang_Taitung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/2d/a0/5b/caption.jpg?w=500&h=400&s=1,台東伯朗大道,4.5 分 (共 5 分),546,景點和地標,
https://www.tripadvisor.com.tw/Attraction_Review-g8840129-d2071758-Reviews-Xiao_Liu_Qiu-Liuqiu_Pingtung.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/18/8b/d6/img20190405155340-largejpg.jpg?w=500&h=-1&s=1,小琉球,4.5 分 (共 5 分),383,公園,
https://www.tripadvisor.com.tw/Attraction_Review-g13808541-d7286282-Reviews-Shakadang_Trail-Xiulin_Hualien.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/bf/f5/53/20180911-185635-largejpg.jpg?w=500&h=-1&s=1,砂卡礑步道,4.5 分 (共 5 分),335,登山步道,
